
************************************************************************************************************************************************
Start to print log. Process ID[8776]
Time                    | L | Thread       | Module  | Source File:Line:Function                                          | Content
2016/06/06 09:58:02.129 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [ec[6](0) ==> CaptureMix[7](0), type=[CAT_AUDIO : TYPE_PCM : [sr=48000, ch=2, b=16] ]]
2016/06/06 09:58:02.129 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [CaptureMix[7](0) ==> prep[8](0), type=[CAT_AUDIO : TYPE_PCM : [sr=48000, ch=2, b=16] ]]
2016/06/06 09:58:02.130 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [prep[8](0) ==> AuxInMix[14](0), type=[CAT_AUDIO : TYPE_PCM : [sr=48000, ch=2, b=16] ]]
2016/06/06 09:58:02.130 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [AuxInMix[14](0) ==> AutoEnc[10](0), type=[CAT_AUDIO : TYPE_PCM : [sr=48000, ch=2, b=16] ]]
2016/06/06 09:58:02.130 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [AutoEnc[10](0) ==> QTEnc[11](0), type=[CAT_AUDIO : TYPE_CELT : [sr=48000, ch=2, b=16] ]]
2016/06/06 09:58:02.130 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [QTEnc[11](0) ==> FEC Enc[13](0), type=[CAT_MUX : TYPE_QT : [] ]]
2016/06/06 09:58:02.130 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] TopoNode: LINK [FEC Enc[13](0) ==> NetSink[12](0), type=[CAT_MUX : TYPE_QT : [] ]]
2016/06/06 09:58:02.130 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [Info] linkparsers end
2016/06/06 09:58:02.221 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [Info][WinWasapiCapture][SetOutputFormat]: Request Format [SR=8000, CH=1], Actual Format [SR=44100, CH=2]
2016/06/06 09:58:02.221 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog CSpkCtrl, CSpkCtrl::SelectDevice
2016/06/06 09:58:02.222 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] WinWasapiRender -- SelDev index -2.
2016/06/06 09:58:02.226 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [INFO] WinWasapiRender -- Real index 0.
2016/06/06 09:58:02.228 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [Info][TRAE] CAuxInMix::SetMicOpen = on
2016/06/06 09:58:02.228 | A | CWorkTaskSer | CMultiM | cmultimediaengine.cpp:26:MultiSpeechEngineLog                      | AudioEngineLog [Info]!!!!EnableMic On
